               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 147,            0.036554,            0.012289,           0.0075713,             0.89779,             0.90228,             0.93944,             0.56163,            0.021707,           0.0051928,           0.0028842,            0.005182,            0.005182,            0.005182
                 148,            0.037942,            0.012554,           0.0090716,             0.88845,              0.9007,             0.92449,             0.55664,            0.020294,           0.0052404,           0.0028544,            0.005149,            0.005149,            0.005149
                 149,            0.037131,            0.012839,           0.0085947,             0.91377,             0.94166,               0.995,             0.63258,            0.019853,           0.0057534,           0.0018388,            0.005116,            0.005116,            0.005116
                 150,            0.035433,            0.011975,           0.0069295,             0.81514,             0.90223,             0.94222,              0.5813,            0.022837,            0.011996,            0.001238,            0.005083,            0.005083,            0.005083
                 151,            0.036139,            0.013447,            0.010071,             0.73343,             0.91667,             0.87925,             0.51107,            0.024591,            0.013573,           0.0012935,             0.00505,             0.00505,             0.00505
                 152,            0.037287,            0.011817,           0.0076197,             0.70682,             0.88333,             0.86563,             0.54524,            0.023504,            0.013097,           0.0013679,            0.005017,            0.005017,            0.005017
                 153,            0.037268,            0.012669,           0.0072203,             0.91784,             0.91667,             0.93548,              0.5951,            0.021432,           0.0076172,           0.0013464,            0.004984,            0.004984,            0.004984
                 154,            0.035237,            0.012165,           0.0078296,             0.87606,             0.91667,               0.945,              0.5204,            0.021538,           0.0067244,           0.0012156,            0.004951,            0.004951,            0.004951
                 155,            0.037125,            0.012456,           0.0069294,             0.89432,             0.93116,               0.995,             0.59656,            0.020313,           0.0057655,           0.0014277,            0.004918,            0.004918,            0.004918
                 156,            0.036098,            0.013066,            0.008912,             0.94403,              0.9304,               0.995,             0.58848,            0.020006,           0.0054693,           0.0010783,            0.004885,            0.004885,            0.004885
